State,                                           ,Values
firstDoseAdministered,                ,77.08
indiaNewConfirmed,                ,444
indiaNewDeaths,                ,1
indiaNewRecovery,                ,252
indiaNewTests,                ,44846
indiaNewVaccinated,                ,372
indiaTotalActive,                ,3809
indiaTotalConfirmed,                ,44690936
indiaTotalDeaths,                ,530782
indiaTotalRecovery,                ,44156345
indiaTotalTests,                ,919716776
indiaTotalVaccinated,                ,1979288349
secondDoseAdministered,                ,71.42
timestamp,                ,2023-03-13
worldNewConfirmed,                ,422847
worldNewDeaths,                ,1396
worldNewRecovery,                ,0
worldTotalActive,                ,632367530
worldTotalConfirmed,                ,638991129
worldTotalDeaths,                ,6623604
worldTotalRecovery,                ,0
